date,korea,other,whole,KOSPI
20070102,0.541,0.459,986664,1435.26
20070103,0.568,0.432,369125,1409.35
20070104,0.571,0.429,321700,1397.29
20070105,0.581,0.419,328173,1385.76
20070108,0.576,0.424,760210,1370.81
20070109,0.643,0.357,241486,1374.34
20070110,0.628,0.372,247441,1355.79
20070111,0.443,0.557,271640,1365.31
20070112,0.365,0.635,397101,1388.37
20070115,0.351,0.649,855542,1390.96
20070116,0.434,0.566,292405,1389.71
20070117,0.448,0.552,306188,1379.48
20070118,0.532,0.468,308322,1383.21
20070119,0.63,0.37,366326,1360.56
20070122,0.605,0.395,861208,1363.41
20070123,0.625,0.375,271161,1363.09
20070124,0.626,0.374,282933,1383.06
20070125,0.619,0.381,276129,1382.36
20070126,0.598,0.402,385183,1371.33
20070129,0.648,0.352,851652,1363.1
20070130,0.644,0.356,288788,1370.72
20070131,0.64,0.36,298406,1360.23
20070202,0.77,0.23,448924,1413.14
20070205,0.751,0.249,835269,1417.95
20070206,0.721,0.279,278461,1428.58
20070207,0.708,0.292,272097,1426.29
20070208,0.708,0.292,260293,1423.58
20070209,0.87,0.13,364246,1427.68
20070212,0.832,0.168,732842,1414.29
20070213,0.849,0.151,227849,1418.44
20070214,0.84,0.16,219943,1436.1
20070215,0.862,0.138,344128,1443.63
20070216,0.812,0.188,315970,1448.81
20070220,0.795,0.205,964640,1452.96
20070221,0.815,0.185,462162,1451.38
20070222,0.801,0.199,275604,1465.41
20070223,0.652,0.348,297290,1469.88
20070226,0.679,0.321,587603,1470.03
20070227,0.651,0.349,230584,1454.6
20070228,0.634,0.366,233384,1417.34
20070302,0.475,0.525,643956,1414.47
20070305,0.465,0.535,472096,1376.15
20070306,0.429,0.571,137085,1402.93
20070307,0.43,0.57,130129,1410.95
20070308,0.425,0.575,132158,1423.89
20070309,0.344,0.656,157383,1423.58
20070312,0.33,0.67,470406,1441.33
20070313,0.3,0.7,113950,1436.05
20070314,0.301,0.699,114385,1407.37
20070315,0.182,0.818,247495,1426.93
20070316,0.137,0.863,227795,1427.88
20070319,0.187,0.813,566450,1443.39
20070320,0.149,0.851,167668,1444.17
20070321,0.147,0.853,159836,1442.85
20070322,0.156,0.844,169481,1448.53
20070323,0.193,0.807,217624,1447.38
20070326,0.167,0.833,564382,1449.77
20070327,0.149,0.851,156175,1453.23
20070328,0.147,0.853,159333,1439.74
20070329,0.139,0.861,159256,1450.95
20070330,0.446,0.554,200208,1452.55
20070402,0.443,0.557,539835,1459.53
20070403,0.402,0.598,143064,1463.75
20070404,0.426,0.574,146614,1483.41
20070405,0.4,0.6,145925,1482.04
20070406,0.558,0.442,176187,1484.15
20070409,0.571,0.429,419244,1501.06
20070410,0.534,0.466,123191,1499.16
20070411,0.525,0.475,127863,1513.42
20070412,0.518,0.483,124436,1525.61
20070413,0.66,0.34,197745,1520.78
20070416,0.706,0.294,453346,1532.04
20070417,0.698,0.302,152501,1528.66
20070418,0.708,0.292,137507,1534.58
20070419,0.709,0.291,136614,1513.66
20070420,0.681,0.32,177993,1533.08
20070423,0.645,0.355,441076,1544.35
20070424,0.654,0.346,125917,1556.71
20070425,0.649,0.351,127095,1545.55
20070426,0.611,0.389,138080,1553.13
20070427,0.63,0.37,174404,1542.52
20070430,0.566,0.434,413002,1542.24
20070502,0.186,0.814,644115,1553.3
20070503,0.197,0.803,255771,1559.86
20070504,0.208,0.792,260874,1567.74
20070507,0.198,0.802,729027,1584.46
20070508,0.251,0.749,176256,1582.65
20070509,0.298,0.702,161473,1593.42
20070510,0.271,0.729,162442,1599.68
20070511,0.339,0.661,191493,1603.56
20070514,0.333,0.667,600983,1605.77
20070515,0.428,0.572,141420,1589.37
20070516,0.417,0.583,274214,1600.6
20070517,0.456,0.544,129139,1615.58
20070518,0.342,0.658,163400,1612.25
20070521,0.348,0.652,460049,1628.2
20070522,0.409,0.591,117327,1642.88
20070523,0.405,0.595,101178,1646.59
20070525,0.205,0.795,977456,1644.56
20070528,0.209,0.791,737313,1657.91
20070529,0.361,0.639,209403,1661.8
20070530,0.439,0.561,202998,1662.72
20070531,0.456,0.544,214300,1700.91
20070604,0.327,0.673,531939,1737.59
20070605,0.469,0.531,139768,1742.19
20070607,0.265,0.735,1158181,1753.04
20070608,0.475,0.525,232418,1727.28
20070611,0.262,0.738,654322,1716.56
20070612,0.454,0.546,151543,1729.88
20070613,0.451,0.549,147416,1721.99
20070614,0.416,0.584,151286,1769.18
20070615,0.264,0.736,197920,1772.26
20070618,0.158,0.842,526271,1806.88
20070619,0.241,0.759,152377,1807.85
20070620,0.241,0.759,150590,1783.79
20070621,0.327,0.673,173456,1794.24
20070622,0.469,0.531,219813,1770.98
20070625,0.371,0.629,535279,1757.73
20070626,0.477,0.523,182713,1749.55
20070627,0.487,0.513,184117,1733.1
20070628,0.469,0.531,183216,1751.75
20070629,0.134,0.866,410531,1743.6
20070702,0.106,0.894,842471,1771.35
20070703,0.145,0.855,295165,1805.5
20070704,0.146,0.854,291588,1838.41
20070705,0.146,0.854,287522,1847.79
20070706,0.104,0.896,300921,1861.01
20070709,0.076,0.924,863790,1883.59
20070710,0.114,0.886,234438,1894.53
20070711,0.112,0.888,239963,1889.96
20070712,0.106,0.894,378726,1909.75
20070713,0.142,0.858,370610,1962.93
20070716,0.114,0.886,1003601,1949.51
20070718,0.044,0.956,1247815,1930.7
20070719,0.059,0.941,311281,1937.9
20070720,0.053,0.947,342371,1983.54
20070723,0.039,0.961,823500,1993.05
20070724,0.065,0.935,289416,1992.26
20070725,0.059,0.941,276819,2004.22
20070726,0.435,0.565,309629,1963.54
20070727,0.532,0.468,471173,1883.22
20070730,0.483,0.517,978571,1906.71
20070731,0.501,0.499,530282,1933.27
20070903,0.57,0.43,608962,1881.81
20070904,0.553,0.447,147782,1874.74
20070905,0.555,0.445,136111,1865.59
20070906,0.543,0.457,137609,1888.81
20070907,0.634,0.366,178307,1884.9
20070910,0.64,0.36,433485,1835.87
20070911,0.63,0.37,123659,1847.36
20070912,0.631,0.369,120265,1813.52
20070913,0.723,0.277,146139,1848.02
20070914,0.672,0.328,203789,1870.02
20070917,0.69,0.31,555443,1871.68
20070918,0.694,0.307,154256,1838.61
20070919,0.685,0.315,158432,1902.65
20070920,0.707,0.293,164787,1908.97
20070921,0.73,0.27,215112,1919.26
20070927,0.742,0.259,877725,1945.28
20070928,0.718,0.282,290408,1946.48
20071002,0.716,0.284,129297,2014.09
20071004,0.571,0.429,573040,2003.6
20071005,0.618,0.382,177306,1996.03
20071008,0.546,0.454,460220,2012.82
20071009,0.57,0.43,151049,2014.13
20071010,0.563,0.437,153325,2041.12
20071011,0.55,0.45,151259,2058.85
20071012,0.438,0.562,162004,2026.44
20071015,0.383,0.617,391508,2035.39
20071016,0.394,0.606,126106,2005.76
20071017,0.398,0.602,119336,1983.94
20071018,0.378,0.622,116470,2005.09
20071019,0.746,0.254,259298,1970.1
20071022,0.725,0.275,558113,1903.81
20071023,0.75,0.25,173377,1947.98
20071024,0.751,0.249,177619,1933.36
20071025,0.746,0.254,176208,1976.75
20071026,0.832,0.168,203580,2028.06
20071029,0.8,0.2,498630,2062.92
20071030,0.795,0.205,156892,2052.37
20071031,0.792,0.208,161078,2064.85
20071102,0.636,0.364,213772,2019.34
20071105,0.725,0.275,517911,2015.76
20071106,0.692,0.308,156031,2054.24
20071107,0.702,0.298,152793,2043.19
20071108,0.717,0.283,156069,1979.56
20071109,0.528,0.472,187417,1990.47
20071112,0.605,0.395,550507,1923.42
20071113,0.517,0.483,159452,1932.89
20071114,0.499,0.501,154020,1972.58
20071115,0.527,0.473,241030,1947.74
20071116,0.532,0.468,276166,1926.2
20071119,0.596,0.404,599656,1893.47
20071120,0.556,0.444,198164,1872.24
20071121,0.553,0.447,206406,1806.99
20071122,0.49,0.51,211202,1799.02
20071123,0.418,0.582,239700,1772.88
20071126,0.532,0.468,551394,1855.33
20071127,0.499,0.501,190727,1859.79
20071128,0.485,0.515,198206,1834.69
20071129,0.501,0.499,197997,1877.56
20071130,0.504,0.496,262309,1906
20071203,0.512,0.488,553665,1902.43
20071204,0.482,0.518,207486,1917.83
20071205,0.469,0.531,206639,1938.2
20071206,0.454,0.546,208888,1953.17
20071207,0.426,0.574,228868,1934.32
20071210,0.413,0.587,509027,1906.42
20071211,0.391,0.609,180056,1925.07
20071212,0.374,0.626,197839,1927.45
20071213,0.393,0.607,283513,1915.9
20071214,0.404,0.596,368612,1895.05
20071217,0.419,0.581,785511,1839.82
20071218,0.419,0.581,281263,1861.47
20071220,0.267,0.733,1028767,1844.37
20071221,0.345,0.655,344424,1878.32
20071224,0.281,0.719,848517,1919.47
20071226,0.241,0.759,1549843,1906.72
20071227,0.325,0.675,297967,1908.62
20071228,0.35,0.65,322753,1897.13
20080102,0.298,0.702,839169,1853.45
20080103,0.381,0.619,264430,1852.73
20080104,0.338,0.662,280432,1863.9
20080107,0.289,0.711,623837,1831.14
20080108,0.346,0.654,198196,1826.23
20080109,0.321,0.679,202592,1844.47
20080110,0.32,0.68,194247,1824.78
20080111,0.588,0.412,344134,1782.27
20080114,0.554,0.446,822258,1765.88
20080115,0.621,0.379,262630,1746.95
20080116,0.602,0.398,265093,1704.97
20080117,0.6,0.4,255721,1723.55
20080118,0.549,0.451,323886,1734.72
20080121,0.582,0.418,754958,1683.56
20080122,0.63,0.37,261571,1609.02
20080123,0.624,0.376,265305,1628.42
20080124,0.624,0.376,254099,1663
20080125,0.5,0.5,287892,1692.41
20080128,0.516,0.484,690050,1627.19
20080129,0.564,0.436,215645,1637.91
20080130,0.535,0.465,228045,1589.06
20080131,0.569,0.431,231993,1624.68
20080204,0.807,0.193,617695,1690.13
20080205,0.836,0.164,233581,1696.57
20080211,0.873,0.127,659157,1640.67
20080212,0.895,0.105,195711,1643.29
20080213,0.873,0.127,179474,1631.78
20080214,0.862,0.138,168242,1697.45
20080215,0.529,0.471,427146,1694.77
20080218,0.539,0.461,726512,1696.24
20080219,0.606,0.394,262882,1720.52
20080220,0.608,0.392,262343,1687.91
20080221,0.62,0.38,252682,1704.36
20080222,0.453,0.547,290417,1686.45
20080225,0.498,0.502,673947,1709.13
20080226,0.531,0.469,248692,1709.13
20080227,0.534,0.466,269202,1720.89
20080228,0.532,0.468,266960,1736.17
20080229,0.52,0.48,342772,1711.62
20080303,0.541,0.459,648578,1671.73
20080304,0.587,0.413,180511,1676.18
20080305,0.597,0.403,167496,1677.1
20080306,0.586,0.414,165586,1697.44
20080307,0.564,0.436,210340,1663.97
20080310,0.598,0.402,521127,1625.17
20080311,0.614,0.386,138166,1641.48
20080312,0.628,0.372,135822,1658.83
20080313,0.606,0.394,134672,1615.62
20080314,0.324,0.676,193011,1600.26
20080317,0.333,0.667,562747,1574.44
20080318,0.383,0.617,148749,1588.75
20080319,0.367,0.633,137497,1622.23
20080320,0.387,0.613,144826,1623.39
20080321,0.534,0.466,207392,1645.69
20080324,0.454,0.546,584202,1655.3
20080325,0.482,0.518,151147,1674.93
20080326,0.486,0.514,142713,1679.67
20080327,0.46,0.54,137777,1676.24
20080328,0.316,0.684,159028,1701.83
20080331,0.297,0.703,470104,1703.99
20080402,0.303,0.697,117101,1742.19
20080403,0.298,0.702,116914,1763.63
20080404,0.447,0.553,180107,1766.49
20080407,0.452,0.548,458794,1773.56
20080408,0.458,0.542,127658,1754.71
20080410,0.266,0.734,567635,1764.64
20080411,0.233,0.767,145436,1779.71
20080414,0.231,0.769,393825,1746.71
20080415,0.225,0.775,117676,1742.17
20080416,0.21,0.79,116978,1758.56
20080417,0.202,0.798,120531,1768.67
20080418,0.119,0.881,147257,1771.9
20080421,0.129,0.871,328600,1800.48
20080422,0.126,0.874,104309,1787.49
20080423,0.13,0.87,112505,1800.79
20080424,0.125,0.875,121805,1799.34
20080425,0.12,0.88,179283,1824.68
20080428,0.066,0.934,456953,1823.17
20080429,0.091,0.909,137739,1811.51
20080430,0.086,0.914,142139,1825.47
20080502,0.241,0.759,527822,1848.27
20080506,0.115,0.885,980811,1859.06
20080507,0.169,0.831,202679,1854.01
20080508,0.171,0.829,179246,1848
20080509,0.107,0.893,202159,1823.7
20080513,0.078,0.922,702035,1842.8
20080514,0.129,0.871,147464,1843.75
20080515,0.137,0.863,134328,1885.71
20080516,0.035,0.965,235529,1888.88
20080519,0.022,0.978,602807,1885.37
20080520,0.042,0.958,132973,1873.15
20080521,0.045,0.955,128174,1847.51
20080522,0.048,0.952,131336,1835.42
20080523,0.015,0.985,281762,1827.94
20080526,0.01,0.99,849237,1800.58
20080527,0.022,0.978,188441,1825.23
20080528,0.016,0.984,172469,1805.64
20080529,0.023,0.977,195084,1841.22
20080530,0.028,0.972,224356,1852.02
20080602,0.01,0.99,659028,1847.53
20080603,0.019,0.981,142081,1819.39
20080604,0.028,0.972,144232,1833.81
20080605,0.017,0.983,150780,1832.31
20080609,0.049,0.951,751650,1808.96
20080610,0.069,0.931,182780,1774.38
20080611,0.072,0.928,184506,1781.67
20080612,0.068,0.932,189121,1739.36
20080613,0.045,0.955,254593,1747.35
20080616,0.024,0.976,799135,1760.82
20080617,0.047,0.953,200533,1750.71
20080618,0.053,0.947,199606,1774.13
20080619,0.272,0.728,235057,1740.72
20080620,0.576,0.424,350854,1731
20080623,0.471,0.529,928371,1715.59
20080624,0.582,0.418,303614,1710.84
20080625,0.574,0.426,304205,1717.79
20080626,0.519,0.481,319282,1717.66
20080627,0.416,0.584,399900,1684.45
20080630,0.41,0.59,922874,1674.92
20080702,0.424,0.576,297085,1623.6
20080703,0.228,0.772,377883,1606.54
20080704,0.223,0.777,384392,1577.94
20080707,0.221,0.779,948592,1579.72
20080708,0.284,0.716,286884,1533.47
20080709,0.277,0.723,299591,1519.38
20080710,0.28,0.72,274790,1537.43
20080711,0.191,0.809,347798,1567.51
20080714,0.197,0.803,892202,1558.62
20080715,0.261,0.739,249983,1509.33
20080716,0.257,0.743,248563,1507.4
20080717,0.461,0.539,281983,1525.56
20080718,0.775,0.225,529692,1509.99
20080721,0.623,0.377,1074270,1562.92
20080722,0.716,0.284,378019,1561.23
20080723,0.688,0.312,355046,1591.76
20080724,0.775,0.225,353721,1626.14
20080725,0.794,0.206,392298,1597.93
20080728,0.747,0.253,905933,1598.29
20080729,0.742,0.258,379531,1567.2
20080730,0.758,0.242,398157,1577.7
20080731,0.444,0.556,633011,1594.67
20080902,0.367,0.633,122588,1407.14
20080903,0.366,0.634,113997,1426.89
20080904,0.41,0.59,145942,1426.43
20080905,0.492,0.508,229504,1404.38
20080908,0.446,0.554,635115,1476.65
20080909,0.441,0.559,161273,1454.5
20080910,0.402,0.598,172190,1464.98
20080911,0.471,0.529,167109,1443.24
20080912,0.486,0.514,231240,1477.92
20080916,0.575,0.425,1124207,1387.75
20080917,0.573,0.427,546646,1425.26
20080918,0.576,0.424,212000,1392.42
20080919,0.498,0.502,220486,1455.78
20080922,0.563,0.437,592749,1460.34
20080923,0.522,0.478,154791,1481.37
20080924,0.5,0.5,160864,1495.98
20080925,0.507,0.493,159983,1501.63
20080926,0.625,0.375,225757,1476.33
20080929,0.575,0.425,503567,1456.36
20080930,0.604,0.396,160007,1448.06
20081002,0.621,0.379,172259,1419.65
20081006,0.623,0.377,427014,1358.75
20081007,0.62,0.381,153725,1366.1
20081008,0.595,0.405,154966,1286.69
20081009,0.602,0.398,161664,1294.89
20081010,0.364,0.636,215371,1241.47
20081013,0.327,0.673,461812,1288.53
20081014,0.35,0.65,159085,1367.69
20081015,0.354,0.646,152256,1340.28
20081016,0.339,0.661,149537,1213.78
20081017,0.378,0.622,208846,1180.67
20081020,0.287,0.713,415169,1207.63
20081021,0.33,0.67,139181,1196.1
20081022,0.327,0.673,148784,1134.59
20081023,0.315,0.685,166316,1049.71
20081024,0.509,0.491,242908,938.75
20081027,0.413,0.587,471231,946.45
20081028,0.473,0.527,173250,999.16
20081029,0.492,0.508,177610,968.97
20081030,0.483,0.517,169953,1084.72
20081031,0.383,0.617,195428,1113.06
20081103,0.307,0.693,418529,1129.08
20081104,0.402,0.598,143479,1153.35
20081105,0.408,0.592,143885,1181.5
20081106,0.226,0.774,196869,1092.22
20081107,0.239,0.761,205432,1134.49
20081110,0.23,0.77,460867,1152.46
20081111,0.254,0.746,153216,1128.73
20081112,0.284,0.716,166877,1123.86
20081113,0.241,0.759,164249,1088.44
20081114,0.713,0.287,344994,1088.26
20081117,0.598,0.402,526732,1078.32
20081118,0.659,0.341,194617,1036.16
20081119,0.67,0.33,204519,1016.82
20081120,0.663,0.337,200736,948.69
20081121,0.47,0.53,245326,1003.73
20081124,0.48,0.52,477445,970.14
20081125,0.507,0.493,190989,983.32
20081126,0.528,0.472,195121,1029.78
20081127,0.518,0.482,195328,1063.48
20081128,0.659,0.341,245430,1076.07
20081202,0.637,0.363,148617,1023.2
20081203,0.629,0.371,157336,1022.67
20081204,0.741,0.259,171066,1006.54
20081205,0.724,0.276,204634,1028.13
20081208,0.789,0.211,453670,1105.05
20081209,0.802,0.198,169914,1105.84
20081210,0.795,0.205,183051,1145.87
20081211,0.503,0.497,211002,1154.43
20081212,0.426,0.574,277990,1103.82
20081215,0.478,0.522,625032,1158.19
20081216,0.519,0.481,228128,1161.56
20081217,0.525,0.475,259052,1169.75
20081218,0.43,0.57,276188,1175.91
20081219,0.421,0.579,335194,1180.97
20081222,0.346,0.654,853036,1179.61
20081223,0.427,0.573,271619,1144.31
20081224,0.368,0.632,312128,1128.51
20081226,0.304,0.696,1628074,1117.86
20081229,0.362,0.638,740411,1117.59
20081230,0.394,0.606,313208,1124.47
20090102,0.538,0.462,1060574,1157.4
20090105,0.582,0.418,716002,1173.57
20090106,0.667,0.333,262574,1194.28
20090107,0.652,0.348,272080,1228.17
20090108,0.65,0.35,266252,1205.7
20090109,0.456,0.544,343705,1180.96
20090112,0.432,0.568,793022,1156.75
20090113,0.529,0.471,239931,1167.71
20090114,0.514,0.486,254837,1182.68
20090115,0.514,0.486,247253,1111.34
20090116,0.501,0.499,254259,1135.2
20090119,0.444,0.556,606969,1150.65
20090120,0.53,0.471,183701,1126.81
20090121,0.515,0.485,192452,1103.61
20090122,0.504,0.496,187720,1116.23
20090123,0.356,0.644,427382,1093.4
20090128,0.39,0.61,1186939,1157.98
20090129,0.42,0.58,512801,1166.56
20090130,0.339,0.661,381659,1162.11
20090202,0.32,0.68,731336,1146.95
20090203,0.399,0.601,232093,1163.2
20090204,0.387,0.613,227072,1195.37
20090205,0.392,0.608,228346,1177.88
20090206,0.558,0.442,284712,1210.26
20090209,0.547,0.453,588990,1202.69
20090210,0.609,0.391,203011,1198.87
20090211,0.626,0.374,211717,1190.18
20090212,0.634,0.366,200456,1179.84
20090213,0.456,0.544,326854,1192.44
20090216,0.469,0.531,717201,1175.47
20090217,0.526,0.474,260962,1127.19
20090218,0.544,0.456,278648,1113.19
20090219,0.537,0.463,282236,1107.1
20090220,0.544,0.456,311609,1065.95
20090223,0.537,0.463,711585,1099.55
20090224,0.57,0.43,271398,1063.88
20090225,0.549,0.451,274085,1067.08
20090226,0.537,0.463,265368,1054.79
20090227,0.461,0.539,293860,1063.03
20090302,0.511,0.489,531677,1018.81
20090303,0.557,0.443,153183,1025.57
20090304,0.581,0.419,151366,1059.26
20090305,0.569,0.431,143626,1058.18
20090306,0.354,0.646,171638,1055.03
20090309,0.405,0.595,431878,1071.73
20090310,0.444,0.556,108062,1092.2
20090311,0.449,0.551,113404,1127.51
20090312,0.545,0.456,127331,1128.39
20090313,0.467,0.533,158910,1126.03
20090316,0.387,0.613,469951,1125.46
20090317,0.452,0.548,119726,1163.88
20090318,0.478,0.522,118482,1169.95
20090319,0.468,0.532,111474,1161.81
20090320,0.395,0.605,181626,1170.94
